단지명,업체명,업체전화번호,종업원수,생산품,공장대표주소(도로명),공장대표주소(지번),업종명,관리기관,관리기관전화번호,데이터기준일자
원주태장농공단지,(주)엠에이피,033-766-0511,2,사료첨가제,"강원도 원주시 태장공단길 51,  원주생산형창업보육센터 D-6 (태장동)",강원도 원주시 태장동  1720-38번지,배합 사료 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)엠큐어,033-734-5970,27,자동약물 주입기,"강원도 원주시 태장공단길 42-10, 의료기기산업단지 4동 203호, 208호, 209호 (태장동)","강원도 원주시 태장동 1720-26번지 의료기기산업단지 4동 203호, 208호, 209호",그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)영진,033-742-3351,5,"CCTV카메라, 스피커","강원도 원주시 태장공단길 54-4, 4층 (태장동)",강원도 원주시 태장동 1720-13번지 4층,방송장비 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)영화제이,033-732-5530,11,물엿,강원도 원주시 문막읍 문막공단길 103 (㈜영화제이공장),강원도 원주시 문막읍 반계리 2236-4번지,전분제품 및 당류 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)오감바이오,070-4235-6426,2,화장품,"강원도 원주시 태장공단길 51, A동 201호 (태장동)",강원도 원주시 태장동 1720-38번지 A동 201호,화장품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)오스코리아제약,033-731-2801,36,조영제,강원도 원주시 문막읍 문막공단길 252,강원도 원주시 문막읍 반계리 5-7번지,완제 의약품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)오토메이션,033-735-7767,5,"계장(계측)제어장치, 자동제어반, 유량계, 프로세스제어반","강원도 원주시 태장공단길 51, C동 3호 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 C동 3호,배전반 및 전기 자동제어반 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)오토테크,033-732-3702,47,자동차조향장치,강원도 원주시 문막읍 문막공단길 248,강원도 원주시 문막읍 반계리 5-11번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)옵토바이오메드,033-742-6015,5,"피부영상분석시스템,편광확대경",강원도 원주시 문막읍 동화공단로 152,강원도 원주시 문막읍 동화리 1652-3번지,기타 광학기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)우리이엔지,033-734-0697,8,"자동제어반, 전기자동제어반",강원도 원주시 태장공단길 59 (태장동),강원도 원주시 태장동 1720-4번지,배전반 및 전기 자동제어반 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)우진,033-761-4243,11,"LED조명, LED신호등, LED가로등, LED보안등, 배전반, 자동제어반, 태양광발전장치, 태양광가로등, 수배전반",강원도 원주시 태장공단길 50 (태장동),강원도 원주시 태장동 1720-61번지,일반용 전기 조명장치 제조업 외 12 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)원앙의료기,033-742-4221,12,개인용조합자극기,강원도 원주시 문막읍 동화공단로 84-1,강원도 원주시 문막읍 동화리 1642-10번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)윌트리,033-900-1223,4,"저주파치료기, 적외선조사기","강원도 원주시 문막읍 동화공단로 130-2, 2동 201호",강원도 원주시 문막읍 동화리 1642-5번지 2동 201호,전기식 진단 및 요법 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)유원메디텍,02-575-8770,5,"인공복막용 메쉬, 의료용 견인기 등","강원도 원주시 문막읍 동화공단로 147-1,  동화의료기기생산공장 3~4호",강원도 원주시 문막읍 동화리 1667-7번지 동화의료기기생산공장 3~4호,의료용품 및 기타 의약 관련제품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,(주)유정개발,033-742-3661,59,"배수관, 오수관",강원도 원주시 우두산길 19 (우산동),강원도 원주시 우산동 411-3번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)이레이앤엘,033-812-2355,4,"놀이터 용품, 야외헬스조립, 건축용 나무제품","강원도 원주시 태장공단길 42-1, 101호 (태장동)",강원도 원주시 태장동 1720-22번지 101호,놀이터용 장비 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)이엔씨파워,033-734-1037,4,"LED 램프, LED 형광등, 도로명판 등","강원도 원주시 태장공단길 50, 1동 101호 (태장동)",강원도 원주시 태장동 1720-61번지 1동 101호,전구 및 램프 제조업 외 8 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)이엔에스,033-731-2988,9,"조명기구, 전광판, 조형물, 디지털영상정보안내시스템","강원도 원주시 태장공단길 51, C-1 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 C-1,일반용 전기 조명장치 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)인더스웰,02-3446-2235,7,"IoT 혈압계, IoT혈당계, IoT체중계","강원도 원주시 문막읍 동화공단로 130-2, 원주벤처공장 201호",강원도 원주시 문막읍 동화리 1642-5번지 원주벤처공장 201호,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)인스킨,070-4027-7721,14,의료용레이져장비,"강원도 원주시 문막읍 동화공단로 130-2, 1-101호",강원도 원주시 문막읍 동화리 1642-5번지 1-101호,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주자동차부품일반지방산업단지,(주)인하에이엠티,033-744-3900,14,차량용 공기조절장치,"강원도 원주시 문막읍 세오름길 26,  BL-7",강원도 원주시 문막읍 동화리 1288-3번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)일광,033-731-2086,38,자동차부품,강원도 원주시 문막읍 문막공단길 178,강원도 원주시 문막읍 반계리 2228번지,그 외 자동차용 신품 부품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)일신테크,033-732-8155,44,"캐리어,캘리퍼",강원도 원주시 문막읍 문막공단길 61,강원도 원주시 문막읍 반계리 5-31번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)전성,033-766-6679,6,버스승강장 등,"강원도 원주시 태장공단길 42-1, 1층 105호 (태장동)",강원도 원주시 태장동 1720-60번지 1층 105호,육상 금속 골조 구조재 제조업 외 5 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)제이산업,,3,자동차부품,"강원도 원주시 문막읍 문막공단길 103, F호 (㈜영화제이공장)",강원도 원주시 문막읍 반계리 2236-4번지 ㈜영화제이공장 F호,그 외 기타 금속가공업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)제중메디칼,033-747-5363,5,엑스레이 뷰 박스,"강원도 원주시 태장공단길 42-10,  의료기기산업기술단지 1 110호 (태장동)",강원도 원주시 태장동  1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)중일전기,033-743-0071,37,"경관조명기구, 태양광발전장치",강원도 원주시 문막읍 동화공단로 85-6,강원도 원주시 문막읍 동화리 1680-6번지,일반용 전기 조명장치 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)진성산업,033-742-9491,30,안전벨트,강원도 원주시 문막읍 문막공단길 69,강원도 원주시 문막읍 반계리 2194번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)진한,033-765-0890,3,"차양 및 도로시설물, 비치파라솔, 야외운동기구, 옥외용벤치, 퍼걸러","강원도 원주시 태장공단길 51, C-2 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 C-2,구조용 금속 판제품 및 공작물 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)참빛라이팅,033-734-1411,3,LED 다운라이트,"강원도 원주시 태장공단길 51, C동 3호 (태장동)",강원도 원주시 태장동 1720-38번지 C동 3호,일반용 전기 조명장치 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)참존,033-741-8500,125,화장품,"강원도 원주시 태장동 1720-1,5번지","강원도 원주시 태장동 1720-1,5번지",완제 의약품 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)카이로스,070-7006-0248,5,휴대용여드림치료기,"강원도 원주시 태장공단길 42-10,  3동 204호 (태장동)",강원도 원주시 태장동 1720-26번지 원주의료기기센터 3동 204호,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)케어텍,070-7019-8327,1,내시경,"강원도 원주시 태장공단길 42-10, 1동112,113호,129,202 (태장동, 원주의료기기센터)","강원도 원주시 태장동 1720-26번지 원주의료기기센터 1동112,113호,129,202",그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)케이씨씨,033-749-4500,68,유리섬유,강원도 원주시 문막읍 문막공단길 106 ((주)KCC문막공장),강원도 원주시 문막읍 반계리 2239번지,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)케이에스알,033-744-8681,6,"가드레일,교량난간,금속재울타리,방음판,금속기둥 등의 교통안전시설물",강원도 원주시 문막읍 동화공단로 85-8,강원도 원주시 문막읍 동화리 1680-8번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종",강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)케이에이씨,033-735-0349,191,자동차부품,강원도 원주시 문막읍 동화공단로 85-3,강원도 원주시 문막읍 동화리 1680-3번지,그 외 자동차용 신품 부품 제조업 외 5 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)케이엘메드,033-748-6083,3,인공심폐용.신장용혈액회로,"강원도 원주시 태장공단길 42-10,  의료기기산업기술단지 2동 103,104,105호 (태장동)",강원도 원주시 태장동  1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,(주)케이엠텍,,49,자동차조향장치,강원도 원주시 우산로 180-14 (우산동),강원도 원주시 우산동 333-17번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,(주)코모텍 원주공장,033-731-8194,30,"에어백부품,금형",강원도 원주시 우두산길 7 (우산동),강원도 원주시 우산동 405-6번지,주형 및 금형 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)코스텍,033-747-9672,16,"의료용모니터(내시경, 초음파 진단)",강원도 원주시 문막읍 동화공단로 135-1,강원도 원주시 문막읍 동화리 1667-6번지,그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)코어웨어,033-742-0178,2,디지털 엑스레이 소프트웨어,강원도 원주시 문막읍 동화공단로 84,강원도 원주시 문막읍 동화리 1642-11번지,방사선 장치 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)코하스,033-733-4215,2,의료용오존소독기,강원도 원주시 태장동 원주의료기기산업단지 3동 103호,강원도 원주시 태장동 원주의료기기산업단지 3동 103호,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)태연메디칼,033-742-7555,31,정영회과 치과용 임플란트,강원도 원주시 문막읍 동화공단로 132-1,강원도 원주시 문막읍 동화리 1642-4번지,정형외과용 및 신체보정용 기기 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)태장엘이디,033-737-0111,5,"조명기구, 조형물","강원도 원주시 태장공단길 51, A동 B01호 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 A동 B01호,일반용 전기 조명장치 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)태진금속,033-744-7480,37,오일필터,강원도 원주시 문막읍 동화공단로 68-1,강원도 원주시 문막읍 동화리 1668-2번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주자동차부품일반지방산업단지,(주)태진금속 원주지점,033-743-7481,9,오일필터,강원도 원주시 문막읍 동화리 1703번지,강원도 원주시 문막읍 동화리 1703번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)토라,033-735-4026,5,"태양광발전장치, 도로표지판, 교통신호등","강원도 원주시 태장공단길 50, 1동 102호 (태장동)","강원도 원주시 태장공단길 50, 1동 102호 (태장동)",전동기 및 발전기 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)티앤씨,033-732-3990,16,"CCTV, 무인교통감시장치, 디지털영상정보시스템, 교통신호제어기, 신호등주, 가로등주",강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19번지,방송장비 제조업 외 6 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)티엘씨코리아,033-731-5845,31,"PBAT, PBS",강원도 원주시 문막읍 문막공단길 216,강원도 원주시 문막읍 반계리 5-29번지,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)티플러스네트워크,070-4571-3900,3,"보안용카메라, 영상감시장치",강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 반계리 2184번지,방송장비 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)파리크라상,033-738-7200,271,"카스테라, 만주 등","강원도 원주시 태장공단길 43 (태장동, (주)파리크라상) (총 2 필지)",강원도 원주시 태장동 1720-39번지 (주)파리크라상 외 1 필지,빵류 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)팜텍코리아,033-731-9757,34,"홍삼, 홍삼액",강원도 원주시 문막읍 문막공단길 59,강원도 원주시 문막읍 반계리 5-21번지,건강기능식품 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)퓨런메디칼,033-747-7762,3,요실금치료기,"강원도 원주시 문막읍 동화공단로 130-2,  강원테크노파크 206호",강원도 원주시 문막읍 동화리 1642-5번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)퓨어라인,033-737-8447,65,"PFA VALVE, FITTING, TUBE",강원도 원주시 문막읍 동화공단로 85-4,강원도 원주시 문막읍 동화리 1680-4 번지,"탭, 밸브 및 유사장치 제조업",강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)프로메디,033-734-2147,4,"공기압치료기, 기능적 전기 자극기","강원도 원주시 태장공단길 42-10,  원주의료기기산업기술단지 2동 201, 209호 (태장동)","강원도 원주시 태장동 1720-26번지 원주의료기기산업기술단지 2동 201, 209호",그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)피닉스테크놀러지스,032-816-0057,44,인쇄회로기판,강원도 원주시 문막읍 동화공단로 52-1,강원도 원주시 문막읍 동화리 1669-3번지,인쇄회로기판용 적층판 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,(주)대인프린테크,031-676-7673,8,신문,강원도 원주시 우산공단길 26-11 (우산동),강원도 원주시 우산동 411-12 번지,기타 인쇄업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)하나씨엔에스,033-747-0999,6,"접이식폴대, CCTV카메라, 자동제어반 및 계장제어장치",강원도 원주시 태장공단길 42-11 (태장동),강원도 원주시 태장동  1720-57번지,육상 금속 골조 구조재 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)하늘마음바이오 원주지점,02-525-2318,5,채혈기,강원도 원주시 문막읍 동화공단로 151,강원도 원주시 문막읍 동화리 1654-1번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)한국E&C,033-734-5435,13,공기조절기,"강원도 원주시 태장공단길 42-13 (태장동, (주)한국이엔씨)",강원도 원주시 태장동  1720-16번지,공기 조화장치 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)한국에이원제약,033-731-2805,30,의약품,강원도 원주시 문막읍 문막공단길 250,강원도 원주시 문막읍 문막공단길 250,완제 의약품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)한라홀딩스 마이스터 원주센터,02-526-0543,55,조향장치 부품,강원도 원주시 문막읍 문막공단길 75 (문막읍),강원도 원주시 문막읍 반계리 2236번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)한미메디테크,033-734-1811,6,인공 심폐용 혈액회로,"강원도 원주시 태장공단길 42-10,  원주의료기기산업기술단지 122호 (태장동)",강원도 원주시 태장동  1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)한서,033-746-2110,9,"가로등,승강장구조물",강원도 원주시 태장공단길 47 (태장동),강원도 원주시 태장동 1720-35번지,육상 금속 골조 구조재 제조업 외 7 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)한일티앤씨,033-345-5682,46,"무대기계장치, 일반조명장치, led 가로등, 경관조명기구전광판, 무대기계제어시스템, 회전무대등 ",강원도 원주시 문막읍 문막공단길 69,강원도 원주시 문막읍 반계리 2194번지,그 외 기타 특수목적용 기계 제조업 외 13 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)한일티엠,,15,재활용의료기기,강원도 원주시 문막읍 동화공단로 107-2,강원도 원주시 문막읍 동화리 1667-2번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)한지이야기,033-745-7550,5,"한지그릇,티셔츠","강원도 원주시 태장공단길 51,  A-B01호 (태장동)",강원도 원주시 태장동 1720-38번지 A-B01호,기타 종이 상자 및 용기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)헬스웰메디칼,033-732-0795,38,안경렌즈,강원도 원주시 문막읍 동화공단로 101-2,강원도 원주시 문막읍 동화리 1665-1번지,안경 및 안경렌즈 제조업 외 6 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)현대이엔지,033-732-3811,50,자동차 조향장치,강원도 원주시 문막읍 문막공단길 101 (현대이엔지),강원도 원주시 문막읍 반계리 2236-5번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주자동차부품일반지방산업단지,(주)화동뉴텍,033-734-9371,41,"rack housing, valve housing, shaft","강원도 원주시 문막읍 세오름길 26,  원주자동차부품일반산업단지 1-3",강원도 원주시 문막읍 동화리 1288-3번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,(주)휠트론,033-744-1374,32,"오일필터, UPPERBODY",강원도 원주시 문막읍 동화공단로 85-5,강원도 원주시 문막읍 동화리 1680-5번지,액체 여과기 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)휴러스트,033-733-1733,4,"이온도입기,의료용현미경,LED조명","강원도 원주시 문막읍 동화공단로 147-1, 116호 (동화의료기기생산공장)",강원도 원주시 문막읍 동화리 1667-7번지 116호 (동화의료기기생산공장),그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)휴레브,033-747-7171,38,의료용전극,강원도 원주시 문막읍 동화공단로 107-3,강원도 원주시 문막읍 동화리 1667-3번지,전기식 진단 및 요법 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,153기업주식회사,070-7574-1530,5,교통신호장치 외,강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19번지,교통 신호장치 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,BAPTON GROUP,033-734-5533,2,베아링,"강원도 원주시 태장공단길 42-4 (태장동, (주)루보)",강원도 원주시 태장동 1720-24번지,구름베어링 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,G&B 메디텍,070-4269-6677,2,재활자전거,"강원도 원주시 태장공단길 51,  A동 207, C동 2호 (태장동)",강원도 원주시 태장동  1720-38번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,가아전기(주),033-747-7136,11,"수,배전반제조, 자동제어반, CCTV, 프로세스제어반, 유량계","강원도 원주시 태장공단길 42-3 (태장동, 가아전기(주))",강원도 원주시 태장동  1720-21번지,배전반 및 전기 자동제어반 제조업 외 9 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,경원엠텍,033-745-3548,6,"냉동기, 공기조화기,저장고, 액체여과기, 열교환기, 자동제어","강원도 원주시 태장공단길 42-3, 다동 (태장동)",강원도 원주시 태장동 1720-21번지 다동,산업용 냉장 및 냉동 장비 제조업 외 5 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,고려엔비텍(주),033-734-0250,4,"수처리장치, 수문, 수문권양기, 호이스트 및 크레인",강원도 원주시 태장공단길 54-7 (태장동),강원도 원주시 태장동  1720-56번지,액체 여과기 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,고려인삼(주),033-731-5760,13,"인삼차, 인삼엑기스, 홍삼환, 홍차, 한차",강원도 원주시 문막읍 문막공단길 226,강원도 원주시 문막읍 반계리 5-33번지,차류 가공업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,금호기업(주),033-743-2296,30,오일필터,강원도 원주시 문막읍 동화공단로 26,강원도 원주시 문막읍 동화리 1673번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,금화부동산,,0, ,"강원도 원주시 태장공단길 54-3 (태장동, 하나계전)",강원도 원주시 태장동  1720-54번지,기타 부동산 임대업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,길한산업(주),033-735-3883,20,"부직포,직포매트",강원도 원주시 태장공단길 55 (태장동),강원도 원주시 태장동  1720-33번지,부직포 및 펠트 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,네오텍,033-764-0255,3,"미용비누,","강원도 원주시 태장공단길 51 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지,"치약, 비누 및 기타 세제 제조업",강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,농업회사법인 꿈터종합식품(주),033-732-8851,62,단무지,강원도 원주시 문막읍 문막공단길 190,강원도 원주시 문막읍 반계리 2232번지,김치류 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,대광이엔지,033-735-8411,5,"액체여과기, 탈취기",강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19번지,액체 여과기 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,대산전업,033-745-6200,5,"수배전반, 자동제어반",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22번지,배전반 및 전기 자동제어반 제조업 외 4 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,대신네트웍스(주),033-766-0844,2,cctv,강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19번지,방송장비 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,대양의료기(주),033-747-4466,16,"초음파,저주파치료기",강원도 원주시 문막읍 동화공단로 147,강원도 원주시 문막읍 동화리 1656-1번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,대월식품,033-744-9292,5,떡,강원도 원주시 우산공단길 26 (우산동),강원도 원주시 우산동  333-6번지,떡류 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,대한화인세라믹(주),033-731-7441,41,세라믹코팅제,강원도 원주시 문막읍 문막공단길 37 (대한화인세라믹(주)),강원도 원주시 문막읍 반계리 5-3번지,그 외 기타 분류 안된 화학제품 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,대화기기(주),033-743-9383,8,전기수술기,강원도 원주시 문막읍 동화공단로 135,강원도 원주시 문막읍 동화리 1656-2번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,덕원산업(주),033-731-8250,19,웰딩와이어,강원도 원주시 우두산길 7 (우산동) (총 2 필지),강원도 원주시 우산동 405-40번지 외 1 필지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,동국생명과학(주),033-734-0860,51,화학제품중금속처리,"강원도 원주시 태장공단길 54-1 (태장동, 동국정밀화학(주))",강원도 원주시 태장동 1720-9번지,의약용 화합물 및 항생물질 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,동도조명(주)-이전,033-742-3261,27,"형광등기구,자기식안정기",강원도 원주시 우산로 180-14 (우산동),강원도 원주시 우산동  333-17번지,일반용 전기 조명장치 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주자동차부품일반지방산업단지,동아정공(주),033-901-2200,36,자동차부품,"강원도 원주시 문막읍 세오름길 26,   BL A-5",강원도 원주시 문막읍 동화리 1288-3 번지  BL A-5,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,동진메디칼(주),033-733-9880,0,전자청진기,강원도 원주시 문막읍 동화공단로 151,강원도 원주시 문막읍 동화리 1654-1번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,동해엔지니어링(주),033-0747-5600,21,"수중모터펌프,오수용펌프, 수문","강원도 원주시 태장공단길 57 (태장동, 동해엔지니어링(주))",강원도 원주시 태장동 1720-3번지,액체 펌프 제조업 외 6 종,강원도 원주시청,033-737-2982,2019-11-11
원주우산지방산업단지,디.에스 테크,,0,식품기계,강원도 원주시 우산공단길 26 (우산동),강원도 원주시 우산동  333-6번지,음ㆍ식료품 및 담배 가공기계 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,라이팅스퀘어,033-737-0559,2,"일반용조명장치, 공원등, 집성목재공원등, 경관조명, 볼라드","강원도 원주시 태장공단길 51, A-207(원주창업보육센터) (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 A-207(원주창업보육센터),일반용 전기 조명장치 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주동화일반지방산업단지,롯데칠성음료주식회사,02-3459-1300,5,물류,강원도 원주시 문막읍 동화공단로 85-7,강원도 원주시 문막읍 동화리 1680-7번지,일반 창고업,강원도 원주시청,033-737-2982,2019-11-11
